nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089.185676574707,1091.8797073364258,1106.9662857055664,1101.8476333618164,,,,1111.815544128418,,,,1140.3722839355469,1119.8976440429688,1135.7924346923828,1113.4319610595703,1129.3267517089844,1108.0438995361328,625.0141448974609,618.0170516967773,664.8437576293945,650.3113327026367,,,,646.0054321289062,,,,705.2116241455078,704.6733703613281,772.7604675292969,765.7633666992188,827.9298706054688,819.5871887207031
1087.6372375488281,1089.0556640625,1084.8003959655762,1085.084083557129,1095.8640899658203,1090.1903991699219,1092.1761932373047,,,,,1144.0904235839844,1123.665153503418,1117.1404190063477,1138.700424194336,1108.9135665893555,1133.026725769043,614.9269866943359,609.5292510986328,610.9496994018555,612.086067199707,605.836067199707,635.0974578857422,635.0974578857422,,,,,692.1997985839844,697.0293426513672,759.2453155517578,763.5066986083984,816.3476257324219,822.0294799804688
1096.8895874023438,,1094.9782791137695,1081.2805671691895,1095.615379333496,1086.6959419250488,1113.1357040405273,1096.8895874023438,1126.8334197998047,1117.5954284667969,,1119.1881866455078,1146.9021682739258,1122.0551528930664,1141.1682434082031,1111.542953491211,1138.30126953125,586.1280670166016,,588.0442352294922,607.8446960449219,595.0702056884766,634.990478515625,604.3317108154297,662.4556427001953,574.311653137207,671.3977813720703,,687.3659057617188,680.9786529541016,749.6415710449219,753.7932434082031,812.2365417480469,814.1527404785156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100.5867004394531,1101.9662780761719,1097.551643371582,1099.483039855957,1081.2726593017578,1109.9678039550781,1140.8702774047852,,,,,1123.2117233276367,,1122.3839874267578,,1121.0044021606445,,653.3992156982422,647.0522155761719,648.1560363769531,591.8608474731445,599.8635940551758,600.6914672851562,650.0877380371094,,,,,668.5768585205078,,722.9403533935547,,788.89404296875,
1088.3356704711914,1090.8355560302734,1085.0858268737793,1083.085922241211,1099.8351211547852,1086.5857543945312,1116.8343048095703,1091.8355026245117,1132.3335647583008,,,1122.3340454101562,1150.3327026367188,1122.3340454101562,1161.3321838378906,1120.584129333496,,604.7381210327148,600.4903793334961,601.4898529052734,600.7402496337891,591.9949035644531,628.4754791259766,601.4898529052734,652.2128448486328,593.9938430786133,,,669.4536743164062,658.4595184326172,726.6732025146484,722.6753387451172,779.6450042724609,
,,1083.7142715454102,1080.4520225524902,1100.569221496582,1084.2579765319824,1116.0649032592773,1083.7142715454102,,1083.986125946045,,1122.3175430297852,1149.5029602050781,1121.7738418579102,1165.5423431396484,1120.414566040039,,,,595.6625900268555,599.2034378051758,593.755973815918,626.713134765625,610.3707504272461,663.2111511230469,,694.8064422607422,,670.8376007080078,656.6741943359375,729.3978424072266,717.1410522460938,781.1487426757812,
,,,1081.5383605957031,1101.053810119629,1081.5383605957031,1120.2594833374023,1121.808334350586,1141.633560180664,1122.4278717041016,,1122.4278717041016,1147.5191650390625,1121.4985580444336,,1122.1181030273438,,,,,602.048713684082,602.048713684082,632.7431564331055,614.4505081176758,735.6780853271484,625.6121292114258,780.3245697021484,,669.6385192871094,660.337158203125,729.4771881103516,,782.804931640625,
,,,1082.1754531860352,1102.8124923706055,1083.5068817138672,1123.1166763305664,1072.8554992675781,1138.0951690673828,1067.1969604492188,,1121.1195449829102,1148.4136810302734,1123.7823791503906,,1125.1138076782227,1125.1138076782227,,,,607.5220947265625,602.184814453125,636.2099838256836,619.8645553588867,677.9074859619141,635.8763961791992,689.2492065429688,,678.5746459960938,666.8993377685547,740.9541015625,,789.6568298339844,790.9911041259766
