nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
569.2499732971191,570.3337936401367,569.6112480163574,571.2369766235352,580.6300964355469,571.2369766235352,588.578125,567.804874420166,594.1778717041016,,,578.82373046875,592.0102310180664,580.9913787841797,582.9783782958984,591.4683227539062,,452.48111724853516,451.03635025024414,450.8557548522949,453.9258842468262,453.3840980529785,466.5676040649414,465.6646270751953,489.86449432373047,484.9884033203125,,,509.36885833740234,507.3823013305664,544.4044952392578,544.0432891845703,571.1327056884766,
569.3872032165527,570.4816284179688,569.7520141601562,571.0288391113281,581.7906646728516,569.9344139099121,589.9988403320312,567.0159530639648,595.2885513305664,566.2863388061523,,580.3314361572266,593.0997009277344,581.7906646728516,584.1619186401367,592.7348937988281,,453.35843658447266,452.08405685424805,451.9020004272461,454.63282775878906,454.08666229248047,467.92286682128906,467.0125961303711,493.4106140136719,488.1310043334961,513.254638671875,,512.5264129638672,512.1623153686523,546.3887023925781,543.8399353027344,572.9687957763672,
570.7843551635742,571.5110969543457,570.9660377502441,571.8744659423828,582.5939483642578,568.9674911499023,590.7698135375977,568.0590629577637,595.4936599731445,567.3323211669922,,580.2320251464844,593.1317367553711,581.3221435546875,582.775634765625,591.3148727416992,,455.8379669189453,454.7456741333008,454.7456741333008,456.02001953125,455.8379669189453,469.3096237182617,467.8532257080078,490.97350311279297,487.1504592895508,512.0912246704102,,511.9091796875,510.0886764526367,544.6780700683594,543.5857543945312,569.9829254150391,
570.8204040527344,571.7307510375977,571.3666114807129,571.9128150939941,583.2010650634766,570.8204040527344,591.2120895385742,568.4535179138184,596.492073059082,566.2686958312988,,579.9238357543945,593.5789794921875,581.016242980957,582.2907257080078,591.394157409668,,455.5641784667969,455.19998931884766,455.19998931884766,455.92835998535156,455.5641784667969,469.2212371826172,468.12866973876953,490.52623748779297,488.1590270996094,512.0133438110352,,512.1954345703125,511.64916229248047,545.1544647216797,544.6081848144531,570.4655456542969,
571.6890106201172,572.4185028076172,571.6890106201172,572.9656143188477,583.3608093261719,572.4185028076172,591.3851699829102,568.7710609436035,596.6739501953125,566.0354881286621,,579.7133712768555,593.9383697509766,580.2604904174805,581.7194595336914,594.4854888916016,595.0326080322266,456.27027130126953,454.44869232177734,454.2665328979492,456.0881118774414,454.9951629638672,468.65704345703125,468.4748840332031,493.2484359741211,487.4193572998047,514.9252777099609,,512.0107498168945,510.73563385009766,546.2565307617188,544.7992553710938,575.9483337402344,576.3126678466797
571.7850570678711,572.8700485229492,572.1467208862305,572.8700485229492,584.0816040039062,569.7959098815918,591.6765441894531,567.8067626953125,596.3781585693359,566.1792755126953,,579.7416458129883,593.6656799316406,580.2841415405273,582.9966201782227,592.2190322875977,,455.58753967285156,452.86682510375977,452.86682510375977,456.1316833496094,454.49925231933594,470.8235321044922,468.10282135009766,493.49615478515625,490.04991912841797,514.3549575805664,,512.3597793579102,511.99700927734375,546.4593963623047,543.1945190429688,572.5782470703125,
571.2297821044922,572.1366653442383,584.2888717651367,572.4994163513184,584.1074905395508,569.960147857666,591.9066772460938,567.0581283569336,596.6224594116211,564.1561088562012,,579.2103424072266,594.0831909179688,580.1172256469727,581.9309844970703,591.9066772460938,,455.62732696533203,453.45041275024414,453.0876007080078,456.17154693603516,454.1760559082031,471.0470962524414,468.68878173828125,493.72322845458984,492.09053802490234,514.4038543701172,,513.4968032836914,512.045539855957,547.7831268310547,547.0574798583984,571.7291259765625,
584.8584060668945,571.9578704833984,584.3133163452148,572.1395645141602,584.1316146850586,570.1408920288086,592.4897079467773,566.5069389343262,596.8504486083984,564.8716583251953,,579.0440826416016,594.1249847412109,579.770866394043,580.8610534667969,591.7629165649414,,455.25943756103516,453.98913192749023,453.26324462890625,456.1668014526367,454.3520812988281,471.4104690551758,469.05133056640625,496.4536361694336,493.9130325317383,515.1452789306641,,514.237922668457,512.4232025146484,547.265869140625,543.8179016113281,571.9461059570312,
571.2257766723633,572.6651916503906,572.1254119873047,572.4852638244629,583.820671081543,569.2465782165527,591.9173812866211,565.6480369567871,596.0557022094727,563.6688385009766,,579.6823425292969,593.8965759277344,578.602783203125,581.1217575073242,592.0973052978516,,454.02209854125977,452.40325927734375,452.40325927734375,454.9214553833008,454.38184356689453,471.64947509765625,468.95140075683594,498.09051513671875,493.23400115966797,513.0198211669922,,514.6386642456055,513.19970703125,547.9148254394531,546.2959899902344,572.3772888183594,
570.7279624938965,572.1661224365234,571.4470405578613,571.6268119812012,583.132080078125,569.649341583252,591.7610321044922,566.0539474487305,596.4350509643555,565.3348655700684,,579.7164535522461,594.0980453491211,577.7389907836914,589.6037979125977,571.4470405578613,592.1205749511719,453.6479148864746,452.2089614868164,452.0290946960449,455.4466094970703,454.5472602844238,471.09520721435547,468.5770492553711,491.42041015625,492.13988494873047,508.3280944824219,,514.8033828735352,514.2637786865234,544.3019104003906,544.1220397949219,555.4537963867188,574.1601715087891
